,fault,number,fault_clean
1,BNRA-BMFZ-MULT-Black_Mountain_fault-CFM3,1,Black_Mountain_fault
2,BNRA-NDVZ-MULT-Northern_Death_Valley_fault-CFM2,2,Northern_Death_Valley_fault
3,BNRA-SDVZ-MULT-Southern_Death_Valley_fault-vertical-CFM3,3,Southern_Death_Valley_fault-vertical
4,CRFA-BPPM-EAST-Big_Pine_fault-CFM4,4,Big_Pine_fault
5,CRFA-BPPM-LCKV-Lockwood_Valley_fault-CFM2,5,Lockwood_Valley_fault
6,CRFA-BPPM-PMTS-Pine_Mountain_fault-CFM2,6,Pine_Mountain_fault
7,CRFA-BPPM-WEST-Big_Pine_fault-CFM2,7,Big_Pine_fault
8,CRFA-CSBL-CSML-Casmalia_fault-CFM4,8,Casmalia_fault
9,CRFA-CSBL-LALM-Los_Alamos_fault-steep-CFM5,9,Los_Alamos_fault-steep
10,CRFA-CSBL-ORCT-Orcutt_blind_fault-CFM5,10,Orcutt_blind_fault
11,CRFA-CSBL-PEZN-Pezzoni_Casmalia_fault-truncated-CFM5,11,Pezzoni_Casmalia_fault-truncated
12,CRFA-CSBL-ZACA-Zaca_blind_fault-CFM5,12,Zaca_blind_fault
13,CRFA-LMPZ-EAST-Lompoc_blind_ramp-CFM5,13,Lompoc_blind_ramp
14,CRFA-LMPZ-WEST-Lompoc_blind_ramp-CFM5,14,Lompoc_blind_ramp
15,CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,15,Lions_Head_fault
16,CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,16,Los_Osos_fault
17,CRFA-LPNZ-MULT-La_Panza_fault-CFM4,17,La_Panza_fault
18,CRFA-NAFZ-MULT-Nacimiento_fault-south-CFM2,18,Nacimiento_fault-south
19,CRFA-OCNZ-SLCR-Oceanic_backthrust-CFM4,19,Oceanic_backthrust
20,CRFA-OCNZ-SLCR-Oceanic_fault-CFM4,20,Oceanic_fault
21,CRFA-REHZ-EHSN-East_Huasna_fault-CFM4,21,East_Huasna_fault
22,CRFA-REHZ-MULT-Rinconada_fault-CFM4,22,Rinconada_fault
23,CRFA-SCFZ-SCYM-South_Cuyama_fault-CFM3,23,South_Cuyama_fault
24,CRFA-SJMZ-MRLS-Morales_fault-CFM3,24,Morales_fault
25,CRFA-SLRS-MULT-San_Luis_Range_fault_system-CFM4,25,San_Luis_Range_fault_system
26,CRFA-SLRS-SHRL-Shoreline_fault-CFM4,26,Shoreline_fault
27,CRFA-SLRS-SLBS-San_Luis_Bay_fault-CFM4,27,San_Luis_Bay_fault
28,CRFA-SLRS-SYNV-Santa_Ynez_Valley_blind_fault-CFM5,28,Santa_Ynez_Valley_blind_fault
29,ETRA-BBFS-1992-Big_Bear_rupture-CFM2,29,Big_Bear_rupture
30,ETRA-BCFZ-MULT-Blue_Cut_fault-CFM2,30,Blue_Cut_fault
31,ETRA-CLHS-NCHS-Grass_Valley_fault-steep-CFM5,31,Grass_Valley_fault-steep
32,ETRA-CLHS-SBMT-Tunnel_Ridge-Arrastre_Canyon_fault-steep-CFM5,32,Tunnel_Ridge-Arrastre_Canyon_fault-steep
33,ETRA-CLHS-SCHS-Cleghorn_fault-steep-CFM5,33,Cleghorn_fault-steep
34,ETRA-LSBM-1992-Joshua_Tree_sequence-CFM5,34,Joshua_Tree_sequence
35,ETRA-LSBM-LGCS-Long_Canyon_fault-CFM5,35,Long_Canyon_fault
36,ETRA-LSBM-MULT-Burnt_Mountain-East_Wide_Canyon_fault-CFM5,36,Burnt_Mountain-East_Wide_Canyon_fault
37,ETRA-LSBM-MULT-Eureka_Peak-West_Deception_Canyon_fault-CFM5,37,Eureka_Peak-West_Deception_Canyon_fault
38,ETRA-NFTS-DTMT-Deep_detachment-CFM5,38,Deep_detachment
39,ETRA-NFTS-EAST-Eastern_North_Frontal_fault-vertical-CFM5,39,Eastern_North_Frontal_fault-vertical
40,ETRA-NFTS-EAST-North_Frontal_Thrust_fault-linked-CFM5,40,North_Frontal_Thrust_fault-linked
41,ETRA-NFTS-WEST-North_Frontal_Thrust_fault-lowdip-CFM5,41,North_Frontal_Thrust_fault-lowdip
42,ETRA-PMFZ-MRVS-Morongo_Valley_fault-CFM5,42,Morongo_Valley_fault
43,ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,43,Pinto_Mountain_fault
44,GRFS-GRFZ-EAST-Garlock_fault-CFM5,44,Garlock_fault
45,GRFS-GRFZ-EAST-Owl_Lake_fault-CFM5,45,Owl_Lake_fault
46,GRFS-GRFZ-WEST-Garlock_fault-CFM5,46,Garlock_fault
47,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,47,Kern_Canyon_fault
48,GVFA-KRCS-LISA-Lake_Isabella_lineament-CFM2,48,Lake_Isabella_lineament
49,GVFA-PLFZ-MULT-Pleito_fault-CFM2,49,Pleito_fault
50,GVFA-TDRS-COAL-Coalinga_blind_fault-CFM2,50,Coalinga_blind_fault
51,GVFA-TDRS-KTLM-Kettleman_Hills_blind_fault-North_Dome-CFM2,51,Kettleman_Hills_blind_fault-North_Dome
52,GVFA-TDRS-LSTH-Lost_Hills_blind_fault-CFM2,52,Lost_Hills_blind_fault
53,GVFA-WWFZ-EAST-Scodie_Lineament-CFM1,53,Scodie_Lineament
54,GVFA-WWFZ-MULT-White_Wolf_fault-CFM1,54,White_Wolf_fault
55,MJVA-BWFZ-MULT-Blackwater_fault-CFM1,55,Blackwater_fault
56,MJVA-CHFZ-MULT-Calico-Hidalgo_fault-CFM1,56,Calico-Hidalgo_fault
57,MJVA-CREC-CMPR-Camp_Rock_fault-CFM5,57,Camp_Rock_fault
58,MJVA-CREC-CPMT-Copper_Mountain_fault-CFM5,58,Copper_Mountain_fault
59,MJVA-CREC-EMRS-Emerson_fault-CFM5,59,Emerson_fault
60,MJVA-CREC-EMRS-Galway_Lake_fault-CFM2,60,Galway_Lake_fault
61,MJVA-CREC-EMRS-North_Emerson_fault-CFM3,61,North_Emerson_fault
62,MJVA-CRSF-CADY-Cady_fault-CFM1,62,Cady_fault
63,MJVA-CRSF-GNTM-McLean_Lake-Drinkwater_Lake_fault-CFM1,63,McLean_Lake-Drinkwater_Lake_fault
64,MJVA-CRSF-GNTM-Nelson_Lake_fault-CFM1,64,Nelson_Lake_fault
65,MJVA-CRSF-MANX-Manix_fault-CFM1,65,Manix_fault
66,MJVA-CRSF-TFMT-Coyote_Canyon_fault-CFM1,66,Coyote_Canyon_fault
67,MJVA-ECSZ-1992-Barstow_Trend-CFM5,67,Barstow_Trend
68,MJVA-ECSZ-1992-Landers_rupture_detailed_splays-CFM3,68,Landers_rupture_detailed_splays
69,MJVA-ECSZ-1999-Hector_Mine_rupture_dipping-CFM2,69,Hector_Mine_rupture_dipping
70,MJVA-GLPS-GLDS-Goldstone_Lake_fault-CFM1,70,Goldstone_Lake_fault
71,MJVA-GLPS-PRDS-Paradise_fault-CFM1,71,Paradise_fault
72,MJVA-HPFZ-MULT-Gravel_Hills-Harper_Lake_fault-CFM1,72,Gravel_Hills-Harper_Lake_fault
73,MJVA-HSLZ-MULT-Helendale-South_Lockhart_fault-CFM5,73,Helendale-South_Lockhart_fault
74,MJVA-HSLZ-SBMT-Pipes_Canyon_fault-CFM5,74,Pipes_Canyon_fault
75,MJVA-HSLZ-SBMT-Pipes_Canyon_fault-north-extension-CFM5,75,Pipes_Canyon_fault-north-extension
76,MJVA-HSLZ-SBMT-Southern_Helendale_fault-CFM5,76,Southern_Helendale_fault
77,MJVA-JVFZ-MULT-Johnson_Valley_fault-CFM3,77,Johnson_Valley_fault
78,MJVA-JVFZ-SJVS-Kickapoo_fault-CFM3,78,Kickapoo_fault
79,MJVA-JVHZ-HMSV-Homestead_Valley_fault-CFM3,79,Homestead_Valley_fault
