*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
19960101,120000,50083.5,-2341333.05,-3539049.497,4745791.292,0.0021,0.00322,0.0037,0.83,-0.805,-0.875,48.38978076,236.5125284,31.74725,-0.04176,-0.06278,-0.00522,0.00131,0.00106,0.00506,-0.021,-0.209,0.118,repro
19960102,120000,50084.5,-2341333.052,-3539049.497,4745791.291,0.00245,0.0037,0.00427,0.815,-0.785,-0.857,48.38978075,236.5125284,31.74766,-0.04324,-0.06358,-0.00481,0.00159,0.00129,0.00581,-0.012,-0.18,0.086,repro
19960103,120000,50085.5,-2341333.05,-3539049.49,4745791.286,0.00259,0.00393,0.00444,0.815,-0.782,-0.854,48.38978077,236.5125283,31.73937,-0.0409,-0.06619,-0.01311,0.0017,0.00136,0.00609,-0.026,-0.218,0.101,repro
19960104,120000,50086.5,-2341333.052,-3539049.498,4745791.295,0.002,0.00307,0.00348,0.827,-0.8,-0.869,48.38978077,236.5125284,31.7509,-0.04082,-0.0632,-0.00157,0.00128,0.00103,0.00478,-0.035,-0.232,0.125,repro
19960105,120000,50087.5,-2341333.051,-3539049.497,4745791.293,0.00188,0.00294,0.00333,0.831,-0.812,-0.875,48.38978076,236.5125284,31.74836,-0.04174,-0.06323,-0.00411,0.00119,0.00097,0.00458,-0.066,-0.222,0.144,repro
19960106,120000,50088.5,-2341333.054,-3539049.501,4745791.293,0.00233,0.00365,0.00412,0.815,-0.789,-0.86,48.38978073,236.5125284,31.75199,-0.04479,-0.06325,-0.00048,0.00155,0.00126,0.00563,-0.053,-0.213,0.14,repro
19960107,120000,50089.5,-2341333.053,-3539049.495,4745791.29,0.00281,0.00426,0.00478,0.814,-0.779,-0.854,48.38978075,236.5125283,31.74564,-0.043,-0.06623,-0.00683,0.00185,0.00148,0.00657,-0.014,-0.228,0.097,repro
19960108,120000,50090.5,-2341333.052,-3539049.496,4745791.293,0.00218,0.00335,0.00374,0.828,-0.791,-0.865,48.38978076,236.5125284,31.74832,-0.04182,-0.06444,-0.00415,0.00142,0.00112,0.00516,-0.008,-0.242,0.116,repro
19960109,120000,50091.5,-2341333.052,-3539049.494,4745791.291,0.00224,0.00343,0.00389,0.818,-0.787,-0.86,48.38978076,236.5125283,31.74585,-0.04137,-0.06537,-0.00662,0.00146,0.00117,0.00533,-0.031,-0.214,0.123,repro
19960110,120000,50092.5,-2341333.051,-3539049.494,4745791.292,0.00219,0.00337,0.00381,0.828,-0.802,-0.868,48.38978077,236.5125283,31.74644,-0.04036,-0.06513,-0.00603,0.0014,0.00112,0.00524,-0.043,-0.234,0.119,repro
19960111,120000,50093.5,-2341333.052,-3539049.495,4745791.292,0.00223,0.00344,0.00386,0.827,-0.799,-0.867,48.38978076,236.5125283,31.74703,-0.04138,-0.06479,-0.00543,0.00143,0.00114,0.00533,-0.042,-0.239,0.131,repro
19960112,120000,50094.5,-2341333.051,-3539049.493,4745791.29,0.00195,0.00309,0.00351,0.841,-0.821,-0.883,48.38978077,236.5125283,31.74419,-0.04073,-0.06521,-0.00827,0.00122,0.00099,0.00482,-0.055,-0.221,0.153,repro
19960113,120000,50095.5,-2341333.05,-3539049.489,4745791.288,0.00286,0.00474,0.00528,0.833,-0.791,-0.886,48.38978078,236.5125283,31.7399,-0.03983,-0.06603,-0.01256,0.00187,0.0015,0.00726,-0.036,-0.22,0.301,repro
19960114,120000,50096.5,-2341333.051,-3539049.495,4745791.291,0.00201,0.00314,0.00361,0.832,-0.809,-0.879,48.38978076,236.5125284,31.74607,-0.04199,-0.06439,-0.0064,0.00125,0.00102,0.00494,-0.034,-0.196,0.154,repro
19960115,120000,50097.5,-2341333.049,-3539049.487,4745791.285,0.0027,0.00436,0.00498,0.847,-0.814,-0.891,48.38978077,236.5125283,31.73635,-0.04032,-0.06713,-0.01612,0.0017,0.00135,0.00682,-0.04,-0.195,0.251,repro
19960116,120000,50098.5,-2341333.051,-3539049.488,4745791.287,0.00261,0.0041,0.00479,0.809,-0.783,-0.858,48.38978078,236.5125283,31.7396,-0.03987,-0.0678,-0.01286,0.00177,0.00141,0.00644,-0.064,-0.123,0.19,repro
19960117,120000,50099.5,-2341333.053,-3539049.496,4745791.293,0.00213,0.0032,0.00381,0.806,-0.773,-0.856,48.38978076,236.5125283,31.74826,-0.04146,-0.06528,-0.0042,0.00141,0.00113,0.00511,-0.004,-0.108,0.129,repro
19960118,120000,50100.5,-2341333.052,-3539049.496,4745791.293,0.00223,0.00334,0.00401,0.804,-0.77,-0.862,48.38978077,236.5125283,31.7484,-0.04112,-0.06498,-0.00407,0.00145,0.00119,0.00535,0.028,-0.096,0.136,repro
19960119,120000,50101.5,-2341333.056,-3539049.495,4745791.291,0.0023,0.00354,0.00419,0.823,-0.788,-0.867,48.38978074,236.5125283,31.74841,-0.04367,-0.06827,-0.00406,0.00152,0.00119,0.00563,-0.014,-0.115,0.17,repro
19960120,120000,50102.5,-2341333.052,-3539049.497,4745791.291,0.00248,0.00364,0.00431,0.804,-0.769,-0.858,48.38978075,236.5125284,31.7478,-0.04291,-0.06341,-0.00466,0.0016,0.0013,0.00581,0.031,-0.137,0.098,repro
19960121,120000,50103.5,-2341333.055,-3539049.501,4745791.295,0.00221,0.00324,0.00382,0.803,-0.763,-0.853,48.38978074,236.5125284,31.75375,-0.04387,-0.06439,0.00128,0.00146,0.00117,0.00515,0.033,-0.132,0.097,repro
