*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20000810,120000,51766.5,-2485778.328,-3284087.074,4853826.82,0.00268,0.00335,0.00404,0.817,-0.788,-0.822,49.87305319,232.8773352,164.69914,-0.03811,-0.05002,-0.02156,0.00166,0.00126,0.00551,-0.011,-0.275,-0.012,repro
20000811,120000,51767.5,-2485778.327,-3284087.073,4853826.817,0.00284,0.00359,0.00421,0.834,-0.789,-0.831,49.87305317,232.8773352,164.69605,-0.03963,-0.0501,-0.02465,0.00177,0.00128,0.00582,0.009,-0.323,0.01,repro
20000812,120000,51768.5,-2485778.325,-3284087.07,4853826.816,0.00315,0.004,0.00462,0.836,-0.787,-0.82,49.87305319,232.8773352,164.69248,-0.03709,-0.05022,-0.02823,0.00203,0.00141,0.00641,-0.015,-0.335,0.005,repro
20000813,120000,51769.5,-2485778.326,-3284087.072,4853826.819,0.00269,0.00341,0.00398,0.832,-0.794,-0.83,49.8730532,232.8773352,164.6967,-0.03693,-0.04963,-0.024,0.00167,0.00122,0.00551,-0.009,-0.328,0.006,repro
20000814,120000,51770.5,-2485778.327,-3284087.073,4853826.817,0.0026,0.00326,0.00384,0.826,-0.79,-0.835,49.87305318,232.8773352,164.69575,-0.03901,-0.04998,-0.02495,0.00159,0.0012,0.0053,0.019,-0.324,0.001,repro
20000815,120000,51771.5,-2485778.325,-3284087.071,4853826.816,0.00274,0.00343,0.00407,0.827,-0.786,-0.829,49.87305319,232.8773352,164.69341,-0.03737,-0.04977,-0.02729,0.0017,0.00125,0.0056,0.021,-0.306,-0.006,repro
20000816,120000,51772.5,-2485778.325,-3284087.073,4853826.817,0.00255,0.0032,0.00379,0.835,-0.792,-0.832,49.87305318,232.8773352,164.69439,-0.0383,-0.04885,-0.02631,0.00158,0.00114,0.00523,0.019,-0.313,-0.008,repro
20000817,120000,51773.5,-2485778.33,-3284087.076,4853826.824,0.00411,0.00498,0.0062,0.834,-0.775,-0.814,49.87305319,232.8773351,164.70408,-0.03776,-0.05124,-0.01663,0.00262,0.00183,0.00836,0.054,-0.236,-0.066,repro
20000818,120000,51774.5,-2485778.329,-3284087.074,4853826.821,0.00379,0.00459,0.00566,0.839,-0.781,-0.823,49.87305318,232.8773351,164.69989,-0.03837,-0.05172,-0.02082,0.00237,0.00166,0.00769,0.068,-0.261,-0.065,repro
20000819,120000,51775.5,-2485778.328,-3284087.074,4853826.819,0.00363,0.00437,0.00542,0.833,-0.778,-0.822,49.87305318,232.8773352,164.69832,-0.03902,-0.05,-0.02238,0.00226,0.00161,0.00734,0.073,-0.249,-0.07,repro
