*YYYYMMDD HHMMSS JJJJJ.JJJJ         X             Y             Z            Sx        Sy       Sz     Rxy   Rxz    Ryz            NLat         Elong         Height         dN        dE        dU         Sn       Se       Su      Rne    Rnu    Reu  Soln
 20000810 120000 51766.5000 -2485778.32755 -3284087.07414  4853826.82034  0.00268  0.00335  0.00404  0.817 -0.788 -0.822      49.8730531854  232.8773351658  164.69914    -0.03811  -0.05002  -0.02156    0.00166  0.00126  0.00551 -0.011 -0.275 -0.012 repro
 20000811 120000 51767.5000 -2485778.32711 -3284087.07343  4853826.81700  0.00284  0.00359  0.00421  0.834 -0.789 -0.831      49.8730531718  232.8773351647  164.69605    -0.03963  -0.05010  -0.02465    0.00177  0.00128  0.00582  0.009 -0.323  0.010 repro
 20000812 120000 51768.5000 -2485778.32465 -3284087.06997  4853826.81590  0.00315  0.00400  0.00462  0.836 -0.787 -0.820      49.8730531946  232.8773351630  164.69248    -0.03709  -0.05022  -0.02823    0.00203  0.00141  0.00641 -0.015 -0.335  0.005 repro
 20000813 120000 51769.5000 -2485778.32574 -3284087.07240  4853826.81924  0.00269  0.00341  0.00398  0.832 -0.794 -0.830      49.8730531962  232.8773351713  164.69670    -0.03693  -0.04963  -0.02400    0.00167  0.00122  0.00551 -0.009 -0.328  0.006 repro
 20000814 120000 51770.5000 -2485778.32661 -3284087.07297  4853826.81717  0.00260  0.00326  0.00384  0.826 -0.790 -0.835      49.8730531774  232.8773351665  164.69575    -0.03901  -0.04998  -0.02495    0.00159  0.00120  0.00530  0.019 -0.324  0.001 repro
 20000815 120000 51771.5000 -2485778.32478 -3284087.07089  4853826.81644  0.00274  0.00343  0.00407  0.827 -0.786 -0.829      49.8730531922  232.8773351693  164.69341    -0.03737  -0.04977  -0.02729    0.00170  0.00125  0.00560  0.021 -0.306 -0.006 repro
 20000816 120000 51772.5000 -2485778.32485 -3284087.07252  4853826.81659  0.00255  0.00320  0.00379  0.835 -0.792 -0.832      49.8730531838  232.8773351822  164.69439    -0.03830  -0.04885  -0.02631    0.00158  0.00114  0.00523  0.019 -0.313 -0.008 repro
 20000817 120000 51773.5000 -2485778.33028 -3284087.07572  4853826.82434  0.00411  0.00498  0.00620  0.834 -0.775 -0.814      49.8730531887  232.8773351489  164.70408    -0.03776  -0.05124  -0.01663    0.00262  0.00183  0.00836  0.054 -0.236 -0.066 repro
 20000818 120000 51774.5000 -2485778.32931 -3284087.07365  4853826.82074  0.00379  0.00459  0.00566  0.839 -0.781 -0.823      49.8730531832  232.8773351423  164.69989    -0.03837  -0.05172  -0.02082    0.00237  0.00166  0.00769  0.068 -0.261 -0.065 repro
 20000819 120000 51775.5000 -2485778.32763 -3284087.07428  4853826.81913  0.00363  0.00437  0.00542  0.833 -0.778 -0.822      49.8730531774  232.8773351662  164.69832    -0.03902  -0.05000  -0.02238    0.00226  0.00161  0.00734  0.073 -0.249 -0.070 repro
 20000820 120000 51776.5000 -2485778.32853 -3284087.07495  4853826.82041  0.00331  0.00405  0.00495  0.835 -0.785 -0.829      49.8730531774  232.8773351617  164.70000    -0.03902  -0.05031  -0.02071    0.00204  0.00147  0.00674  0.058 -0.272 -0.043 repro
