*YYYYMMDD HHMMSS JJJJJ.JJJJ         X             Y             Z            Sx        Sy       Sz     Rxy   Rxz    Ryz            NLat         Elong         Height         dN        dE        dU         Sn       Se       Su      Rne    Rnu    Reu  Soln
 20061025 120000 54033.5000 -2735813.30765 -4013142.38943  4121159.09352  0.01261  0.02179  0.02309  0.928 -0.895 -0.946      40.5047864023  235.7172180054  608.24318    -0.10670   0.00026   0.01534    0.00576  0.00468  0.03334  0.201  0.256  0.481 repro
 20061026 120000 54034.5000 -2735813.30634 -4013142.38694  4121159.09124  0.00265  0.00368  0.00351  0.828 -0.789 -0.839      40.5047864030  235.7172180016  608.23958    -0.10662  -0.00006   0.01174    0.00149  0.00125  0.00540 -0.013 -0.146  0.014 repro
 20061027 120000 54035.5000 -2735813.30439 -4013142.38445  4121159.08893  0.00263  0.00365  0.00346  0.828 -0.782 -0.837      40.5047864056  235.7172180041  608.23568    -0.10632   0.00015   0.00784    0.00149  0.00125  0.00534  0.004 -0.153  0.015 repro
 20061028 120000 54036.5000 -2735813.30474 -4013142.38439  4121159.09003  0.00249  0.00346  0.00332  0.824 -0.782 -0.836      40.5047864123  235.7172180003  608.23650    -0.10558  -0.00018   0.00866    0.00141  0.00119  0.00508 -0.007 -0.129  0.019 repro
 20061029 120000 54037.5000 -2735813.30636 -4013142.38583  4121159.09134  0.00256  0.00356  0.00340  0.826 -0.784 -0.838      40.5047864090  235.7172179940  608.23896    -0.10595  -0.00070   0.01111    0.00145  0.00122  0.00522 -0.006 -0.140  0.021 repro
 20061030 120000 54038.5000 -2735813.30445 -4013142.38380  4121159.08894  0.00274  0.00384  0.00366  0.822 -0.780 -0.838      40.5047864086  235.7172179992  608.23530    -0.10599  -0.00027   0.00746    0.00155  0.00132  0.00561 -0.004 -0.137  0.035 repro
 20061031 120000 54039.5000 -2735813.30492 -4013142.38360  4121159.08993  0.00252  0.00354  0.00337  0.828 -0.782 -0.835      40.5047864149  235.7172179933  608.23602    -0.10530  -0.00077   0.00818    0.00145  0.00120  0.00517 -0.011 -0.146  0.033 repro
 20061101 120000 54040.5000 -2735813.30451 -4013142.38514  4121159.09147  0.00294  0.00412  0.00394  0.833 -0.787 -0.837      40.5047864193  235.7172180074  608.23781    -0.10480   0.00044   0.00997    0.00168  0.00138  0.00603 -0.013 -0.138  0.022 repro
 20061102 120000 54041.5000 -2735813.30636 -4013142.38598  4121159.10020  0.00352  0.00484  0.00471  0.834 -0.787 -0.834      40.5047864690  235.7172179951  608.24480    -0.09928  -0.00062   0.01696    0.00200  0.00163  0.00716 -0.004 -0.117 -0.007 repro
 20061103 120000 54042.5000 -2735813.30340 -4013142.38442  4121159.09620  0.00359  0.00494  0.00477  0.836 -0.785 -0.837      40.5047864589  235.7172180135  608.23996    -0.10040   0.00095   0.01212    0.00204  0.00165  0.00729  0.012 -0.130 -0.004 repro
 20061104 120000 54043.5000 -2735813.30123 -4013142.37737  4121159.08631  0.00308  0.00434  0.00410  0.823 -0.781 -0.833      40.5047864323  235.7172179879  608.22817    -0.10335  -0.00123   0.00033    0.00177  0.00149  0.00631 -0.022 -0.151  0.039 repro
 20061105 120000 54044.5000 -2735813.29939 -4013142.37760  4121159.08484  0.00300  0.00421  0.00402  0.823 -0.778 -0.830      40.5047864272  235.7172180074  608.22658    -0.10392   0.00042  -0.00127    0.00174  0.00145  0.00614 -0.014 -0.134  0.031 repro
 20061106 120000 54045.5000 -2735813.30149 -4013142.38115  4121159.08792  0.00279  0.00389  0.00373  0.824 -0.778 -0.830      40.5047864243  235.7172180104  608.23171    -0.10425   0.00068   0.00386    0.00162  0.00134  0.00569 -0.014 -0.130  0.026 repro
 20061107 120000 54046.5000 -2735813.30329 -4013142.38062  4121159.09147  0.00306  0.00429  0.00407  0.827 -0.783 -0.827      40.5047864452  235.7172179894  608.23445    -0.10192  -0.00110   0.00661    0.00178  0.00146  0.00625 -0.037 -0.147  0.023 repro
 20061108 120000 54047.5000 -2735813.30507 -4013142.38467  4121159.09124  0.00325  0.00452  0.00433  0.831 -0.786 -0.831      40.5047864181  235.7172179989  608.23761    -0.10493  -0.00029   0.00977    0.00187  0.00152  0.00662 -0.022 -0.136  0.009 repro
 20061109 120000 54048.5000 -2735813.30272 -4013142.37935  4121159.08684  0.00298  0.00418  0.00394  0.833 -0.791 -0.832      40.5047864215  235.7172179865  608.23040    -0.10456  -0.00134   0.00256    0.00171  0.00140  0.00608 -0.042 -0.166  0.022 repro
 20061110 120000 54049.5000 -2735813.30197 -4013142.37906  4121159.08827  0.00283  0.00397  0.00374  0.831 -0.789 -0.831      40.5047864351  235.7172179918  608.23083    -0.10304  -0.00089   0.00298    0.00162  0.00133  0.00577 -0.041 -0.163  0.021 repro
 20061111 120000 54050.5000 -2735813.30355 -4013142.38213  4121159.08972  0.00308  0.00438  0.00414  0.826 -0.781 -0.826      40.5047864251  235.7172179969  608.23438    -0.10416  -0.00046   0.00653    0.00182  0.00148  0.00635 -0.047 -0.146  0.050 repro
 20061112 120000 54051.5000 -2735813.30117 -4013142.37931  4121159.08666  0.00273  0.00378  0.00357  0.836 -0.788 -0.827      40.5047864256  235.7172180013  608.22959    -0.10411  -0.00009   0.00175    0.00157  0.00126  0.00552 -0.032 -0.167 -0.002 repro
 20061113 120000 54052.5000 -2735813.30431 -4013142.38603  4121159.09817  0.00378  0.00526  0.00501  0.830 -0.784 -0.826      40.5047864615  235.7172180154  608.24264    -0.10010   0.00110   0.01480    0.00220  0.00178  0.00769 -0.036 -0.143  0.011 repro
 20061114 120000 54053.5000 -2735813.30380 -4013142.38385  4121159.08929  0.00302  0.00418  0.00401  0.834 -0.788 -0.833      40.5047864130  235.7172180058  608.23528    -0.10551   0.00030   0.00744    0.00173  0.00140  0.00615 -0.020 -0.137  0.004 repro
 20061115 120000 54054.5000 -2735813.30146 -4013142.38122  4121159.09061  0.00294  0.00410  0.00395  0.829 -0.784 -0.833      40.5047864425  235.7172180111  608.23349    -0.10223   0.00075   0.00564    0.00169  0.00139  0.00602 -0.014 -0.120  0.018 repro
 20061116 120000 54055.5000 -2735813.30248 -4013142.38271  4121159.09094  0.00324  0.00455  0.00442  0.833 -0.784 -0.835      40.5047864341  235.7172180111  608.23507    -0.10315   0.00074   0.00723    0.00188  0.00152  0.00670 -0.010 -0.106  0.030 repro
