citation,ref_year,ref_author,reference_id
"Brown, R.D., 1995, 1906 surface faulting on the San Andreas fault near Point Delgada, California: Bulletin of the Seismological Society of America, v. 85, p. 100-110, 2 pls.",1995,"Brown, R.D.",1a
"Brown, R.D., Jr., and Wolfe, E.W., 1972, Map showing recently active breaks along the San Andreas fault between Point Delgada and Bolinas Bay, California: U.S. Geological Survey Miscellaneous Investigations Map I-692, 2 sheets, scale 1:24,000.",1972,"Brown, R.D., Jr., and Wolfe, E.W.",1a
"Clarke, S.H., and Field, M.E., 1989, Geologic map of the northern California continental margin: California Continental Margin Geologic Map Series Map No. 7A, 1 sheet, scale 1:250,000.",1989,"Clarke, S.H., and Field, M.E.",1a
"Hart, E.W., 1996, San Andreas fault, Shelter Cove Area, Humboldt County: California Division of Mines and Geology Fault Evaluation Report FER-243, 20 p.",1996,"Hart, E.W.",1a
"Jennings, C.W., 1994, Fault activity map of California and adjacent areas, with locations of recent volcanic eruptions: California Division of Mines and Geology Geologic Data Map 6, 92 p., 2 pls., scale 1:750,000.",1994,"Jennings, C.W.",1a
"Lawson, A.C., chairman, 1908, The California earthquake of April 18, 1906—Report of the State Earthquake Investigation Commission: Washington, D.C., Carnegie Institution of Washington Publication 87.",1908,"Lawson, A.C., chairman",1a
"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P., 1996, Probabilistic seismic hazard assessment for the State of California: California Department of Conservation, Division of Mines and Geology Open-File Report 96-08 (also U.S. Geological Open-File Report 96-706), 33 p.",1996,"Petersen, M.D., Bryant, W.A., Cramer, C.H., Cao, T., Reichle, M.S., Frankel, A.D., Lienkaemper, J.J., McCrory, P.A., and Schwartz, D.P.",1a
"Prentice, C.S., Merritts, D.J., Beutner, E.C., Bodin, P., Schill, A., and Muller, J.R., 1999, Northern San Andreas fault near Shelter Cove, California: Geological Society of America Bulletin, v. 111, no. 4, p. 512-523.",1999,"Prentice, C.S., Merritts, D.J., Beutner, E.C., Bodin, P., Schill, A., and Muller, J.R.",1a
"Thatcher, W., Marshall, G., and Lisowski, M., 1997, Resolution of fault slip along the 470-km-long rupture of the great 1906 San Francisco earthquake and its implications: Journal of Geophysical Research, v. 102, no. B3, p. 5353-5367.",1997,"Thatcher, W., Marshall, G., and Lisowski, M.",1a
"Noble, L.F., 1926, The San Andreas rift and some other active faults in the desert region of southeastern California: Carnegie Institution of Washington Year Book 25, p. 415-428.",1926,"Noble, L.F.",1a
"Hill, M.L., 1981, San Andreas fault—History of concepts: Geological Society of America Bulletin, v. 92, p. 112-131.",1981,"Hill, M.L.",1a
"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E., 1987, Was the 8 December 1812 California earthquake produced by the San Andreas fault?—Evidence from trees near Wrightwood [abs.]: Seismological Research Letters, v. 58, no. 1, p. 14.",1987,"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E.",1a
"Prentice, C.S., 1999, San Andreas fault—1906 earthquake and subsequent evolution of ideas: Geological Society of America Special Paper 338, p. 79-85.",1999,"Prentice, C.S.",1a
"Hill, M.L., and Dibblee, T.W., Jr., 1953, San Andreas, Garlock, and Big Pine faults, California: Geological Society of America Bulletin, v. 64, p. 443–458.",1953,"Hill, M.L., and Dibblee, T.W., Jr.",1a
"Working Group on Northern California Earthquake Potential (WGNCEP), 1996, Database of potential sources for earthquakes larger than magnitude 6 in northern California: U.S. Geological Survey Open-File Report 96-705, 40 p.",1996,Working Group on Northern California Earthquake Potential (WGNCEP),1a
"Burford, R.O., and Harsh, P.W., 1980, Slip on the San Andreas fault in central California from alignment array surveys: Bulletin of the Seismological Society of America, v. 70, no. 4, p. 1233-1261.",1980,"Burford, R.O., and Harsh, P.W.",1a
"Working Group on California Earthquake Probabilities, 1988, Probabilities of large earthquakes occurring in California on the San Andreas fault: U.S. Geological Survey Open-File Report 88-398, 62 p.",1988,Working Group on California Earthquake Probabilities,1a
"Sieh, K.E., Stuiver, M., and Brillinger, D., 1989, A more precise chronology of earthquakes produced by the San Andreas fault in southern California: Journal of Geophysical Research, v. 94, no. B1, p. 603-623.",1989,"Sieh, K.E., Stuiver, M., and Brillinger, D.",1a
"Sieh, K.E., and Jahns, R.H., 1984, Holocene activity of the San Andreas fault at Wallace Creek, California: Geological Society of America Bulletin, v. 95, p. 883-896.",1984,"Sieh, K.E., and Jahns, R.H.",1a
"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E., 1988, Irregular recurrence of large earthquakes along the San Andreas fault—Evidence from trees: Science, v. 241, p. 196-199.",1988,"Jacoby, G.C., Sheppard, P.R., and Sieh, K.E.",1a
"Matti, J.C., and Morton, D.M., 1993, Paleogeographic evolution of the San Andreas fault in southern California—A reconstruction based on a new cross-fault correlation, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 107-160.",1993,"Matti, J.C., and Morton, D.M.",1a
"Sims, J.D., 1993, Chronology of displacement on the San Andreas fault in central California—Evidence from reversed positions of exotic rock bodies near Parkfield, California, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 231-256.",1993,"Sims, J.D.",1a
"Allen, C.R., 1957, San Andreas fault zone in San Gorgonio Pass, southern California: Geological Society of America Bulletin, v. 68, no. 3, p. 315-350.",1957,"Allen, C.R.",1a
"Toppozada, T.R., and Borchardt, G., 1998, Re-evaluation of the 1836 ""Hayward fault"" and the 1938 San Andreas fault earthquakes: Bulletin  of the Seismological Society of America, v. 88, no. 1, p. 140-159.",1998,"Toppozada, T.R., and Borchardt, G.",1a
"Noller, J.S., Simpson, G.D., and Lightfoot, K., 1996, Paleoseismic and geoarchaeologic investigations of the northern San Andreas fault, Fort Ross, California, <i>in</i> National Earthquake Hazards Reduction Program, Summaries of technical reports: U.S. Geological Survey, National Earthquake Hazards Reduction Program
External Research Program, Annual Project Summaries, v. 37, http://erp-web.er.usgs.gov/reports/annsum/vol37/nc/g2474.htm.",1996,"Noller, J.S., Simpson, G.D., and Lightfoot, K.",1a
"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J., 2001, First long-term slip rate along the San Andreas fault based on 10Be-26Al surface exposure dating—The Biska Palms site, 23 mm/yr for the last 30,000 years [abs.]: Eos, Transactions of the American Geophysical Union, v. 82, p. 934.",2001,"van der Woerd, J., Klinger, Y., Sieh, K., Tapponnier, P., and Ryerson, F.J.",1a
"Dibblee, T.W., Jr., 1967, Geologic map of the Morongo Valley quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-517, 4 p. pamphlet, 1 sheet, scale 1:62,500.",1967,"Dibblee, T.W., Jr.",1a
"Sykes, L.R., and Nishenko, S.P., 1984, Probabilities of occurrence of large plate rupturing earthquakes for the San Andreas, San Jacinto, and Imperial faults, California: Journal of Geophysical Research, v. 89, no. B7, p. 5905-5927.",1984,"Sykes, L.R., and Nishenko, S.P.",1a
"Dibblee, T.W., Jr., 1981, Geologic map of the Palm Springs (15 minute) quadrangle, California: South Coast Geological Society, Geologic Map SCGS-3, scale 1:62,500.",1981,"Dibblee, T.W., Jr.",1a
"Schwartz, D.P., Pantosti, D., Okumura, K., Powers, T.J., and Hamilton, J.C., 1998, Paleoseismic investigations in the Santa Cruz Mountains, California—Implications for recurrence of large-magnitude earthquakes on the San Andrea fault: Journal of Geophysical Research, v. 103, no. B8, p. 17,985-18,001.",1998,"Schwartz, D.P., Pantosti, D., Okumura, K., Powers, T.J., and Hamilton, J.C.",1a
"Hart, E.W., and Bryant, W.A., 1997, Fault-rupture hazard zones in California: California Division of Mines and Geology Special Report 42, 38 p.",1997,"Hart, E.W., and Bryant, W.A.",1a
"Wallace, R.E., 1970, Earthquake recurrence intervals on the San Andreas fault: Geological Society of America Bulletin, v. 81, p. 2875–2890.",1970,"Wallace, R.E.",1a
"Anderson, F.M., 1899, The geology of Point Reyes Peninsula: Berkeley, California, University of California Publications in Geological Sciences, v. 2, p. 119-153.",1899,"Anderson, F.M.",1a
"Lawson, A.C., 1893, The post-Pliocene diastrophism of the coast of southern California: Berkeley, California, University of California Publications in Geological Sciences, v. 1, p. 115-160.",1893,"Lawson, A.C.",1a
"Biasi, G.P., Weldon, R.J., II, Fumal, T.E., and Seitz, G.G., 2002, Paleoseismic event dating and the conditional probability of large earthquakes on the southern San Andreas fault, California: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2761-2781.",2002,"Biasi, G.P., Weldon, R.J., II, Fumal, T.E., and Seitz, G.G.",1a
"Sims, J.D., 1994, Stream channel offset and abandonment and a 200-year average recurrence interval of earthquakes on the San Andreas fault at Phelan Creek, Carrizo Plain, California, <i>in</i> Prentice, C.S., Schwartz, D.P., and Yeats, R.S., ed., Proceedings of the workshop on paleoseismology: U.S. Geological Survey Open-File Report 94-568, p. 170-172.",1994,"Sims, J.D.",1a
"Wallace, R.E., 1990, General features, <i>in</i> Wallace, R.E., ed., The San Andreas fault system: U.S. Geological Survey Professional Paper 1515, p. 3-12.",1990,"Wallace, R.E.",1a
"Stone, E.M., Grant, L.B., and Arrowsmith, J.R., 2002, Recent rupture history of the San Andreas fault, southwest of Cholame in the northern Carrizo Plain, California: Bulletin of the Seismological Society of America, v. 92, no. 3, p. 983-997.",2002,"Stone, E.M., Grant, L.B., and Arrowsmith, J.R.",1a
"Weldon, R.J., II, Meisling, K.E., and Alexander, J., 1993, A speculative history of the San Andreas fault in the central Transverse Ranges, California, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., eds., The San Andreas fault system—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 161-198.",1993,"Weldon, R.J., II, Meisling, K.E., and Alexander, J.",1a
"Sieh, K.E., and Williams, P.L., 1990, Behavior of the San Andreas fault during the past 300 years: Journal of Geophysical Research, v. 95, no. B5, p. 6629-6645.",1990,"Sieh, K.E., and Williams, P.L.",1a
"Stanley, R.G., 1987, New estimates of displacement along the San Andreas fault in central California based on paleobathymetry and paleogeography: Geology, v. 15, no. 2, p. 171-174.",1987,"Stanley, R.G.",1a
"Wilson, J.T., 1965, A new class of faults and their bearing on continental drift: Nature, v. 207, p. 343-347.",1965,"Wilson, J.T.",1a
"Powell, R.E., 1993, Balanced palinspastic reconstruction of pre-late Cenozoic paleogeology, southern California—Geologic and kinematic constraints on evolution of the San Andreas fault system, <i>in</i> Powell, R.E., Weldon, R.J., II, and Matti, J.C., ed., The San Andreas Fault System—Displacement, palinspastic reconstruction, and geologic evolution: Geological Society of America Memoir 178, p. 1-106.",1993,"Powell, R.E.",1a
"Muller, J.R., 1996, Faulting and deformation at the northern terminus of the San Andreas fault: Lancaster, Pennsylvania, Franklin and Marshall College, Senior thesis, 35 p., 1 pl., scale approximately 1:15,000.",1996,"Muller, J.R.",1a
"Bakun, W.H., 1999, Seismic activity of the San Francisco Bay region: Bulletin of the Seismological Society of America, v. 89, no. 3, p. 764-784.",1999,"Bakun, W.H.",1a
"Matthews, V., III, 1976, Correlation of Pinnacles and Neenach volcanic formations and their bearing on San Andreas fault problem: Bulletin of the American Association of Petroleum Geologists, v. 60, no. 12, p. 2128-2141.",1976,"Matthews, V., III",1a
"Allen, C.R., 1968, The tectonic environments of seismically active and inactive areas along the San Andreas fault system, <i>in</i> Dickinson, W.R., and Grantz, A., eds., Proceedings of conference on geologic problems of San Andreas fault system: Palo Alto, California, Stanford University Publications, Geological Sciences, v. XI, p. 70-82.",1968,"Allen, C.R.",1a
"Hall, N.T., Wright, R.H., and Clahan, K.B., 1999, Paleoseismic studies of the San Francisco Peninsula segment of the San Andreas fault zone near Woodside, California: Journal of Geophysical Research, v. 104, no. B10, p. 23,215-23,236.",1999,"Hall, N.T., Wright, R.H., and Clahan, K.B.",1a
"Prentice, C.S., 1989, Earthquake geology of the northern San Andreas fault near Point Arena, California: Pasadena, California Institute of Technology, unpublished Ph.D. dissertation, 252 p.",1989,"Prentice, C.S.",1a
"Working Group on California Earthquake Probabilities, 1999, Earthquake probabilities in the San Francisco Bay region; 2000 to 2030—A summary of findings: U.S. Geological Survey Open-File Report 99-517, 60 p.",1999,Working Group on California Earthquake Probabilities,1a
"Schuyler, J.D., 1896-1897, Reservoirs for irrigation: U.S. Geological Survey, 18th Annual Report, part IV, p. 711-712.",1896-1897,"Schuyler, J.D.",1a
"Sieh, K.E., 1986, Slip rate across the San Andreas fault and prehistoric earthquakes at Indio, California [abs.]: Eos, Transactions of the American Geophysical Union, v. 67, no. 55, p. 1200.",1986,"Sieh, K.E.",1a
"Dibblee, T.W., Jr., 1982, Geology of the San Bernardino Mountains, southern California, <i>in</i> Fife, D.L., and Minch, J.A., eds., Geology and mineral wealth of the California Transverse Ranges—Mason Hill Volume: South Coast Geological Society Guidebook 10, p. 148-169.",1982,"Dibblee, T.W., Jr.",1a
"Steinbrugge, K.V., and Zacher, E.G., 1960, Creep on the San Andreas fault—Fault creep and property damage: Bulletin of the Seismological Society of America, v. 50, no. 3, p. 389-396.",1960,"Steinbrugge, K.V., and Zacher, E.G.",1a
"Matti, J.C., Morton, D.M., and Cox, B.F., 1992, The San Andreas fault system in the vicinity of the central Transverse Ranges province, southern California: U.S. Geological Survey Open-File Report 92-354, 49 p., 2 sheets, scale 1:125,000.",1992,"Matti, J.C., Morton, D.M., and Cox, B.F.",1a
"Harden, J.W., and Matti, J.C., 1989, Holocene and late Pleistocene slip rate on the San Andreas fault in Yucaipa, California, using displaced alluvial-fan deposits and soil chronology: Geological Society of America Bulletin, v. 101, p. 1107-1117.",1989,"Harden, J.W., and Matti, J.C.",1a
"Fumal, T.E., Weldon, R.J., II, Biasi, G.P., Dawson, T.E., Seitz, G.G., Frost, W.T., and Schartz, D.P., 2002, Evidence for large earthquakes on the San Andreas fault at the Wrightwood, California, paleoseismic site—A.D. 500 to present: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2726-2760.",2002,"Fumal, T.E., Weldon, R.J., II, Biasi, G.P., Dawson, T.E., Seitz, G.G., Frost, W.T., and Schartz, D.P.",1a
"Keller, E.A., Bonkowski, M.S., Korsch, R.J., and Shlemon, R.J., 1982, Tectonic geomorphology of the San Andreas fault zone in the southern Indio Hills, Coachella Valley, California: Geological Society of America Bulletin, v. 93, no. 1, p. 46-56.",1982,"Keller, E.A., Bonkowski, M.S., Korsch, R.J., and Shlemon, R.J.",1a
"Sieh, K.E., 1978, Large prehistoric earthquakes produced by slip on the San Andreas fault at Pallet Creek, California: Journal of Geophysical Research, v. 83, no. B8, p. 3907-3939.",1978,"Sieh, K.E.",1a
"Lawson, A.C., 1895, Sketch of the geology of the San Francisco peninsula, California: U.S. Geological Survey Annual Report, v. 15, p. 399-476.",1895,"Lawson, A.C.",1a
"Yule, D., Fumal, T., McGill, S., and Seitz, G., 2001, Active tectonics and paleoseismic record of the San Andreas fault, Wrightwood to Indio: Working toward a forecast for the next ""big event"", <i>in</i> Dunne, G., and Cooper, J., eds., Geologic excursions in the California deserts and adjacent Transverse Ranges: Geological Society of America Fieldtrip Guidebook and Volume prepared for the Joint Meeting of the Cordilleran Section GSA and Pacific Section AAPG, p. 91-126.",2001,"Yule, D., Fumal, T., McGill, S., and Seitz, G.",1a
"Weldon, R.J., II, and Sieh, K.E., 1985, Holocene rate of slip and tentative recurrence interval for large earthquakes on the San Andreas fault, Cajon Pass, southern California: Geological Society of America Bulletin, v. 96, no. 6, p. 793-812.",1985,"Weldon, R.J., II, and Sieh, K.E.",1a
"Working Group on California Earthquake Probabilities, 1995, Seismic hazards in southern California—Probable earthquakes, 1994 to 2024: Bulletin of the Seismological Society of America, v. 85, no. 2, p. 379-439.",1995,Working Group on California Earthquake Probabilities,1a
"Working Group on California Earthquake Probabilities, 1990, Probabilities of large earthquakes in the San Francisco Bay region, California: U.S. Geological Survey Circular 1053, 51 p.",1990,Working Group on California Earthquake Probabilities,1a
"Dibblee, T.W., Jr., 1964, Geologic map of the San Gorgonio Mountain quadrangle San Bernardino and Riverside Counties, California: U.S. Geological Survey Miscellaneous Geologic Investigations Map I-431, 3 p. pamphlet, 1 sheet, scale 1:62,500.",1964,"Dibblee, T.W., Jr.",1a
"Fumal, T.E., Rymer, M.J., and Seitz, G.G., 2002, Timing of large earthquakes since A.D. 800 on the Mission Creek strand of the San Andreas fault zone at Thousand Palms Oasis, near Palm Springs, California: Bulletin of the Seismological Society of America, Special Issue on Paleoseismology of the San Andreas Fault System, v. 92, no. 7, p. 2841-2860.",2002,"Fumal, T.E., Rymer, M.J., and Seitz, G.G.",1a
"Niemi, T.M., and Hall, N.T., 1992, Late Holocene slip rate and recurrence of great earthquakes on the San Andrea fault in northern California: Geology, v. 20, no. 3, p. 196-198.",1992,"Niemi, T.M., and Hall, N.T.",1a
"Seitz, G.G., and Weldon, R.J., II, 1994, The paleoseismology of the southern San Andreas fault at Pitman Canyon, San Bernardino, California, <i>in</i> McGill, S.F., and Ross, T.M., eds., Geologic investigations of an active margin: Cordilleran Section Annual Meeting, San Bernardino, California, Field trip guidebook, v. 27, p. 152-156.",1994,"Seitz, G.G., and Weldon, R.J., II",1a
"Grant, L.B., and Sieh, K., 1994, Paleoseismic evidence of clustered earthquakes on the San Andreas fault in the Carrizo Plain, California: Journal of Geophysical Research, v. 99, no. B4, p. 6819-6841.",1994,"Grant, L.B., and Sieh, K.",1a
"Dibblee, T.W., Jr., 1968, Displacements on the San Andreas fault system in San Gabriel, San Bernardino, and San Jacinto Mountains, southern California, <i>in</i> Dickinson, W.R., and Grantz, A., eds., Proceedings of conference on geologic problems of San Andreas fault system: Palo Alto, California, Stanford University Publications in Geological Sciences, v. XI, p. 269-278.",1968,"Dibblee, T.W., Jr.",1a
"Baldwin, J.N., Jr., 1996, Paleoseismic investigation of the San Andreas fault on the North Coast segment, near Manchester, California: San Jose, California, San Jose State University, unpublished M.S. thesis, 127 p., 4 pls.",1996,"Baldwin, J.N., Jr.",1b
